     647,       13,      135,        0,     7838,     6009
     150,        6,       54,        0,     7532,     6519
     197,       16,       66,        1,     7567,     6700
     226,       19,       73,        1,     7671,     6207
     250,       17,       88,        1,     7474,     6498
     364,       23,      109,        2,     7466,     6752
     526,       26,      145,        1,     7601,     6167
     897,       44,      212,        6,     7073,     6490
    1631,       46,      248,        3,     7308,     6682
    2642,       61,      318,        7,     7561,     6372
    3595,       80,      434,       10,     7094,     6577
    4127,      164,      574,        5,     7272,     6918
    4412,      453,      973,       12,     7393,     6558
    4932,     1079,     1501,        8,     6869,     6628
    5584,     1943,     2266,        5,     7036,     6989
    6223,     2813,     3261,       10,     7074,     6772
    6844,     3174,     4242,       15,     6790,     6824
    7211,     3251,     4977,       12,     7039,     7116
    7187,     3379,     5837,       13,     7197,     7144
    7285,     3672,     6434,       15,     6825,     6809
    7187,     4032,     6904,       17,     7014,     7207
    7516,     4320,     7199,       16,     7129,     7051
    7112,     4527,     7544,       21,     6700,     6891
    6938,     4748,     7865,       18,     6883,     7451
    6713,     4962,     8456,       22,     6947,     7116
    6384,     5325,     9252,       22,     6546,     6829
    6301,     5837,    10150,       23,     6847,     7573
    6226,     5872,    11127,       29,     6821,     7063
    6450,     5778,    12451,       48,     6536,     7126
    6668,     5764,    13210,       48,     6682,     7654
    7126,     5728,    14231,      101,     6788,     7178
    7537,     5858,    15218,       87,     6473,     7267
    8201,     6070,    16270,       83,     6726,     7863
    8983,     6401,    17303,      286,     6738,     7303
    9487,     6661,    18271,      292,     6413,     7106
   10189,     6634,    19155,      205,     6535,     7873
   10691,     6825,    19844,      622,     6692,     7457
   11539,     7251,    20849,      558,     6572,     7208
   12242,     7548,    21763,      470,     6572,     8116
   12655,     7777,    22160,     1148,     6692,     7645
   12876,     8250,    23103,      852,     6376,     7207
   12905,     8820,    23412,      603,     6474,     8300
   12945,     9654,    24455,     1423,     6508,     7616
   12811,    10388,    25002,     1100,     6253,     7368
   13017,    11220,    25014,      672,     6502,     8689
   13056,    12076,    25750,     1405,     6570,     7823
   13368,    12671,    25927,     1249,     6051,     7530
   14008,    13716,    25979,      637,     6362,     8694
   14371,    14350,    26123,     1469,     6398,     8341
