     651,       13,      135,        0,     8772,     6399
     151,        6,       54,        0,     8280,     7155
     197,       16,       66,        1,     8326,     7275
     226,       19,       73,        1,     8554,     6652
     254,       17,       88,        1,     8282,     7115
     365,       23,      110,        2,     8302,     7350
     529,       26,      146,        1,     8413,     6629
     897,       44,      212,        6,     7878,     7119
    1634,       46,      248,        3,     8048,     7204
    2647,       61,      318,        7,     8359,     6825
    3605,       80,      435,       10,     7818,     7212
    4133,      164,      575,        5,     8042,     7457
    4434,      453,      979,       12,     8127,     6984
    4965,     1079,     1511,        8,     7570,     7293
    5626,     1943,     2282,        5,     7693,     7554
    6279,     2813,     3270,       10,     7809,     7262
    6906,     3176,     4262,       15,     7435,     7533
    7295,     3254,     5013,       12,     7716,     7681
    7283,     3383,     5877,       13,     7924,     7595
    7413,     3677,     6489,       15,     7466,     7469
    7294,     4040,     6976,       17,     7686,     7762
    7663,     4335,     7292,       16,     7790,     7574
    7237,     4544,     7671,       21,     7296,     7566
    7060,     4769,     8031,       18,     7554,     8010
    6836,     4988,     8699,       22,     7679,     7567
    6518,     5371,     9519,       22,     7105,     7564
    6448,     5873,    10514,       23,     7524,     8171
    6387,     5937,    11615,       29,     7459,     7576
    6613,     5839,    13132,       48,     7112,     7892
    6845,     5844,    14067,       48,     7241,     8354
    7321,     5818,    15260,      101,     7473,     7736
    7812,     5950,    16461,       87,     7069,     8049
    8544,     6161,    17796,       83,     7341,     8457
    9401,     6560,    19093,      286,     7356,     7840
    9940,     6827,    20349,      292,     6950,     7886
   10685,     6805,    21647,      205,     7084,     8548
   11358,     7038,    22617,      622,     7334,     8006
   12410,     7514,    24017,      558,     7101,     8021
   13147,     7857,    25286,      470,     7126,     8790
   13571,     8094,    26096,     1148,     7283,     8229
   13991,     8640,    27418,      852,     6894,     8052
   14026,     9270,    28171,      603,     7089,     8905
   14190,    10213,    29792,     1423,     7066,     8240
   14101,    11029,    30831,     1100,     6776,     8232
   14538,    11933,    30947,      672,     7077,     9422
   14687,    12954,    32156,     1405,     7127,     8416
   15171,    13678,    32712,     1249,     6534,     8430
   15953,    14932,    33056,      637,     6927,     9481
   16451,    15747,    33584,     1469,     6992,     9003
   17404,    17161,    34091,     1259,     6549,     8698
   18013,    18404,    34173,      687,     6863,     9443
   19496,    19312,    34929,     1536,     7084,     9331
   20270,    21028,    34887,     1471,     6547,     8473
   21036,    22150,    34828,      700,     7075,     9701
   22142,    23387,    34793,     1649,     7013,     9750
   22681,    24404,    34846,     1586,     6522,     8686
   23569,    25301,    35098,      760,     6962,    10151
   24454,    26323,    35268,     1657,     6841,    10228
